Link_Header_Project_Name,State,Link_Header_project_Url,Scout id,Address,Timestamp,Data.Objektart,Data.Vermietbare Fläche ca.,Data.Wohnfläche ca.,Data.Sonstige Fläche ca.,Data.Gesamtfläche ca.,Data.Grundstücksfläche,Data.Etage(n),Data.Kaufpreis ab,Data.x-fache Miete,Data.Mieteinnahmen p.a. (Soll),Data.Provision für Käufer,Data.Baujahr,Data.Objektzustand,Data.Letzte Modernisierung/ Sanierung,Data.Heizungsart,Data.Energieausweis,Data.Anzahl der Parkflächen,Data.Wesentliche Energieträger,Data.Energie­ausweistyp,Data.Endenergiebedarf,Data.Energie­effizienz­klasse,Data.Qualität der Ausstattung,Data.Kaufpreis pro m²,Data.End­energie­verbrauch,Data.Fußweg zu öffentl. Verkehrsmitteln,Data.Fahrzeit nächster Hauptbahnhof,Data.Fahrzeit nächste Autobahn,Data.Fahrzeit nächster Flughafen,Data.End­energie­ver­brauch Strom,Data.End­energie­ver­brauch Wärme,Data.Gewerbefläche ca.,Data.Preis pro Parkfläche,Data.Mieteinnahmen p.a. (Ist),Data.Betriebskosten umgelegt,Data.Nicht umgelegte Kosten,Data.Denkmalschutzobjekt,Data.Energie­ver­brauchs­kennwert,Data.Strom­ver­brauchs­kenn­wert,Data.Heiz­energie­ver­brauchs­kenn­wert
Attraktive Ladeneinheit mit großer Schaufensterfläche in zentraler Lage von Brühl,Baden-Württemberg,,"Objekt-Nr.: 20177CNO |
        
        Scout-ID: 115827921","68782 Brühl, Rhein-Neckar-Kreis",2021-09-02 11:50:00.933377,Wohn-/ Geschäftshaus,77  m²,,,77  m²,,,165.000 €,,,"4,76",1980,Gepflegt,,,liegt zur Besichtigung vor,,Fernwärme,,,,,,,,,,,,,77  m²,,,,,,,,
Schwäbisch Gmünd / Centrum / Bestlage / Geschäftshaus,Baden-Württemberg,,Scout-ID: 128272157,"73525 Schwäbisch Gmünd, Ostalbkreis",2021-09-02 11:50:37.202377,Geschäftshaus,2.071  m²,,,2.071  m²,1.237  m²,UG/TG + EG + 3,4.300.000 €,,,"3,57%",1971,Gepflegt,1996,Zentralheizung,liegt vor,24,Gas,Bedarfsausweis,"612,5 kWh/(m²*a)",,Gehoben,,,2 Min.,2 Min.,5 Min.,40 Min.,,,2.071  m²,,230.461  €,,,,,,
Investieren Sie in ein modernes Pflege-Appartement zur Altersvorsorge,Baden-Württemberg,,"Objekt-Nr.: Kaiserstraße_TE39 |
        
        Scout-ID: 128507476","74889 Sinsheim-Weiler, Sinsheim",2021-09-02 11:51:05.377638,Wohnanlage,"23,73  m²","37,25  m²",,,,3,232.778 €,,"7.517,25  €",Nein,2022,Erstbezug,,Zentralheizung,liegt zur Besichtigung vor,,Flüssiggas,,,,Normal,,,1 Min.,13 Min.,10 Min.,,,,,,"7.517,25  €",,,,,,
"NEUSichere, inflationsgeschützte Anlage! Bis zu EUR 15.200 Mieteinnahmen p.a.",Baden-Württemberg,,"Objekt-Nr.: 07662-H2-Eh1 |
        
        Scout-ID: 129536037","70794 Filderstadt, Esslingen (Kreis)",2021-09-02 11:51:38.966008,Eigentumswohnung,91  m²,,,,,,569.000 €,,,Nein,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEU*Mit Chic & Charme* 2 Zimmer-Eigentums-Wohnung mit Kfz-Stellplatz,Baden-Württemberg,,"Objekt-Nr.: 673132 |
        
        Scout-ID: 129502013","97877 Wertheim, Main-Tauber-Kreis",2021-09-02 11:52:14.158080,Eigentumswohnung,94  m²,53  m²,,10  m²,,3,139.900 €,,,"2,97 % inkl. ges. MwSt.",1963,Modernisiert,,Zentralheizung,liegt vor,,Öl,Bedarfsausweis,"155,9 kWh/(m²*a)",,Gehoben,,,,,,,,,,,,,,,,,
VERKAUFT: Repräsentatives Wohn- und Geschäftshaus in der Radolfzeller Innenstadt,Baden-Württemberg,,"Objekt-Nr.: 20620 |
        
        Scout-ID: 120080585","78315 Radolfzell am Bodensee, Konstanz (Kreis)",2021-09-02 11:52:52.381746,Wohn-/ Geschäftshaus,"1.299,6  m²","420,35  m²","177,89  m²","1.477,49  m²",680  m²,,1.890.000 €,"16,5",122.000  €,"5,95 %  inkl. MwSt. vom Kaufpreis",,Renovierungsbedürftig,,Zentralheizung,liegt vor,2,Gas,Verbrauchsausweis,,F,,"1.454,29  €",182 kWh/(m²*a),1 Min.,5 Min.,5 Min.,45 Min.,,,"698,88  m²",,114.838  €,,,,,,
Aufgeteiltes Mehrfamilienhaus mit separatem Einfamilienhaus in Stuttgarter Citylage,Baden-Württemberg,,"Objekt-Nr.: 4877 |
        
        Scout-ID: 129023116","70184 Stuttgart, Dobel",2021-09-02 11:53:27.253586,Wohn-/ Geschäftshaus,1.211  m²,1.211  m²,,,620  m²,,4.750.000 €,,,"2,38 % vom Kaufpreis inkl. 19% MwSt.",1956,,,,,2,,Bedarfsausweis,"127,1 kWh/(m²*a)",,,,,,,,,,,,,,,,,,,
Mehrfamilienhaus mit sehr guter Rendite + vermietbare große ausbaufähige Scheune (Boote),Baden-Württemberg,,"Objekt-Nr.: FR 6754 |
        
        Scout-ID: 124229762","88605 Sauldorf, Sigmaringen (Kreis)",2021-09-02 11:54:04.907975,Mehrfamilienhaus,230  m²,230  m²,720  m²,,1.800  m²,3,485.000 €,,,"3,57 % inkl. MwSt",1960,,,Zentralheizung,liegt vor,15,Öl,Verbrauchsausweis,,F,Normal,,"175,1 kWh/(m²*a)",2 Min.,,,,,,,0  €,35.320  €,,6.300  €,,,,
Waldkirch ++ Attraktives Renditeobjekt,Baden-Württemberg,,"Objekt-Nr.: FR4714 |
        
        Scout-ID: 121302420","79183 Waldkirch, Emmendingen (Kreis)",2021-09-02 11:54:41.422299,Wohn-/ Geschäftshaus,1.064  m²,,,1.064  m²,1.346  m²,,1.870.000 €,,,"3,57 % inkl. ges. MwSt.",1988,,,Zentralheizung,,,Gas,Verbrauchsausweis,,,,,,,,,,,,,,,,,,"62,4 kWh/(m²*a)",,
"Attraktive Kapitalanlage - 4,1 % Rendite!",Baden-Württemberg,,"Objekt-Nr.: 13452X |
        
        Scout-ID: 127790480","71634 Ludwigsburg, Ludwigsburg (Kreis)",2021-09-02 11:55:15.116341,Wohn-/ Geschäftshaus,741  m²,529  m²,80  m²,821  m²,504  m²,,2.980.000 €,,,"4,76 % inkl. ges. MwSt.",unbekannt,,,,laut Gesetz nicht erforderlich,,,,,,,,,,,,,,,212  m²,,122.064  €,,,,,,
